                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.77912,                0.61039,                 1.0022,                0.97559,                0.98701,                0.98274,                0.80461,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                     39,                0.79188,                0.59936,                 0.9919,                 0.9741,                0.98765,                0.98324,                  0.816,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     40,                0.74831,                0.58117,                0.99047,                0.98764,                0.98765,                0.98115,                0.82733,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     41,                0.76259,                0.57264,                0.99636,                0.98402,                0.97531,                0.98272,                0.82087,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     42,                0.79631,                0.58677,                 1.0146,                0.97225,                0.97531,                0.98015,                0.81928,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     43,                0.77041,                0.57522,                 1.0109,                0.96176,                0.93155,                0.96337,                0.74292,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     44,                0.74349,                0.56524,                0.98577,                0.95171,                 0.9732,                0.97349,                0.76411,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     45,                 0.7497,                0.57126,                0.98207,                0.98265,                0.98765,                0.98509,                0.80322,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     46,                0.74298,                0.53992,                0.99479,                0.97558,                 0.9864,                 0.9846,                0.79057,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     47,                0.75618,                0.56578,                0.97381,                0.97559,                0.98685,                0.98462,                0.80439,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     48,                0.73847,                0.54982,                0.97878,                0.97093,                0.98765,                0.98506,                  0.804,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
                     49,                0.73363,                0.52217,                0.98295,                0.98188,                0.98765,                0.98469,                0.81265,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     50,                0.72643,                0.53876,                0.95869,                0.98616,                0.98765,                 0.9849,                 0.8137,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                     51,                0.72805,                0.54446,                0.98687,                0.98718,                0.98765,                 0.9856,                0.82001,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     52,                0.71237,                0.53605,                0.98619,                0.97484,                0.98765,                 0.9853,                0.84395,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                     53,                0.69761,                0.52173,                0.95223,                0.98748,                0.97352,                0.98521,                0.82096,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     54,                0.70359,                0.51428,                0.96961,                0.98442,                0.96296,                0.98322,                0.82495,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
                     55,                0.72318,                0.56227,                 1.0058,                0.98608,                0.98765,                0.98445,                0.82188,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     56,                0.67689,                0.50718,                0.95518,                0.98684,                0.98765,                0.98541,                0.80943,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                     57,                0.73886,                0.53664,                0.98902,                0.98764,                0.98658,                0.98534,                0.82444,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
